0, 0, 360, 0
315, 0, 0, 45
0, 90, 180, 90
135, 135, 90, 0
0, 360, 0, 0
225, 0, 0, 135
45, 225, 90, 0
90, 0, 45, 225
135, 180, 0, 45
180, 90, 90, 0
45, 315, 0, 0
45, 270, 45, 0
0, 0, 315, 45
0, 360, 0, 0
45, 225, 0, 90
0, 135, 90, 135
45, 0, 90, 225
180, 180, 0, 0
45, 0, 315, 0
180, 0, 45, 135
45, 0, 90, 225 
270, 90, 0, 0 
0, 45, 315, 0 
180, 45, 135, 0 
180, 45, 0, 135 
180, 0, 180, 0 
90, 90, 180, 0 
45, 0, 315, 0 
45, 315, 0, 0 
135, 225, 0, 0 
135, 180, 0, 45 
135, 45, 180, 0 
0, 45, 225, 90 
45, 180, 135, 0 
135, 0, 0, 225 
0, 90, 225, 45 
0, 0, 270, 90 
315, 0, 0, 45 
90, 0, 135, 135 
135, 0, 225, 0

